cartodb_id,the_geom,store_name,longitude,latitude,address,address_line__2,city,state,zip5,zip4,county,count_vals,count_vals_density
8147,0101000020E61000007C4276DEC67B52C06A183E22A66C4440,La Placita Washington Heights Corp,-73.934013,40.84882,1406 Saint Nicholas Ave,,New York,NY,10033,4027,NEW YORK ,1,384615.384615385
8148,0101000020E6100000740CC85EEF7E52C0DB300A82C7594440,Betel Mini Market & Deli Corp,-73.98336,40.701401,187 York St,,Brooklyn,NY,11201,1508,KINGS ,1,384615.384615385
8150,0101000020E610000011548D5E0D7952C0D9B5BDDD926A4440,Jennings Brothers Meat Market Corp,-73.891441,40.832607,904 Jennings St,,Bronx,NY,10460,6006,BRONX ,1,384615.384615385
8151,0101000020E6100000FEEDB25F777F52C0F8FF71C2844F4440,C K Zheng Inc,-73.991661,40.621239,6321 17th Ave,,Brooklyn,NY,11204,2710,KINGS ,1,384615.384615385
8152,0101000020E61000007521567F847C52C02B508BC1C3504440,7 Eleven 34736H,-73.945587,40.630974,1623 Flatbush Ave,,Brooklyn,NY,11210,3259,KINGS ,1,384615.384615385
8153,0101000020E6100000E9818FC18A7752C0FDD8243FE2574440,Los Chamona Deli Grocery,-73.867844,40.686592,576 Ridgewood Ave,,Brooklyn,NY,11208,1834,KINGS ,1,384615.384615385
8156,0101000020E610000086AE44A0FA8152C07506465ED64E4440,Late Nights Stop 1 Deli Inc,-74.030922,40.615917,9429 5th Ave,,Brooklyn,NY,11209,7401,KINGS ,1,384615.384615385
8157,0101000020E6100000378C82E0F18852C054A9D903AD504440,539 Deli,-74.139763,40.63028,539 Port Richmond Ave,,Staten Island,NY,10302,1720,RICHMOND ,1,384615.384615385
8158,0101000020E6100000200890A1637D52C0DAACFA5C6D574440,Organic Deli & Grocery II Corp,-73.959206,40.683025,69 Putnam ave,,brooklyn,NY,11238,2552,KINGS ,1,384615.384615385
8160,0101000020E6100000505260014C7752C001C11C3D7E5F4440,Jack's Grocery & Deli,-73.864014,40.74604,4307 National St,,Corona,NY,11368,2442,QUEENS ,1,384615.384615385
8162,0101000020E61000009817601F9D7B52C062122EE411664440,Pleasant Finest Deli Corp,-73.931465,40.797421,375 Pleasant Ave,,New York,NY,10035,,NEW YORK ,1,384615.384615385
8163,0101000020E610000089997D1EA37C52C09F1D705D31654440,Reyco Supermarkets LLC/Super Fi Emporium,-73.947456,40.790569,1635 Lexington Ave,,New York,NY,10029,5303,NEW YORK ,1,384615.384615385
8164,0101000020E610000098FC4FFEEE7952C098C3EE3B866B4440,Claremont Park Deli Grocery,-73.905212,40.840034,1570 Webster Ave,,Bronx,NY,10457,,BRONX ,1,384615.384615385
8165,0101000020E6100000BB0D6ABFB57A52C0FE2955A2EC694440,Azur International Dist Inc/ Blessings Int'l Food,-73.917343,40.827534,938 Morris Ave,,Bronx,NY,10456,6509,BRONX ,1,384615.384615385
8166,0101000020E61000007715527E527852C00CAEB9A3FF6F4440,MG Bus Stop Deli Corp,-73.880035,40.874989,271 E 206th St,,Bronx,NY,10467,3714,BRONX ,1,384615.384615385
